,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
1303,1304,Mr. Syed Jamal Hussain,University of Karachi,Computer Science,Sindh,Assistant Professor,MCS,University of Karachi,Pakistan,,"Languages, Data Mining, Data Modeling ",
1304,1305,Dr. Tahseen Ahmed Jilani,University of Karachi,Computer Science,Sindh,Assistant Professor,PhD,University of Karachi,Pakistan,,"Soft Computing, Data Mining, Fuzzy Set Theory ",
1305,1306,Dr. Muhammad Saeed,University of Karachi,Computer Science,Sindh,Assistant Professor,PhD,University of Karachi,Pakistan,,"Operating Systems, Networking, Parallel Computing ",
1306,1307,Mr. Hussain Saleem,University of Karachi,Computer Science,Sindh,Assistant Professor,MS,University of Karachi,Pakistan,,"Software Project Management, Software Configuration Management",PhD candidate
1308,1309,Mr. Syed Asim Ali,University of Karachi,Computer Science,Sindh,Assistant Professor,M.A,University of Karachi,Pakistan,,,PhD candidate
1310,1311,Dr. Humera Tariq,University of Karachi,Computer Science,Sindh,Assistant Professor,PhD,University of Karachi,Pakistan,,"Computer Graphics, Image Processing, Discrete Mathematics ",
1311,1312,Dr. Zain Abbas (F.S.L.),University of Karachi,Computer Science,Sindh,Assistant Professor,PhD,University of Karachi,Pakistan,,,
1316,1317,Mr. Taha Bin Niaz,University of Karachi,Computer Science,Sindh,Lecturer,M.Eng,NED University of Engineering And Technology,Pakistan,,,
1317,1318,Ms. Maryam Feroz,University of Karachi,Computer Science,Sindh,Lecturer,MS,Institute of Business Administration,Pakistan,,,
1318,1319,Najmi Ghani Haider.,"NED,UET",Computer Science,Sindh,Professor/Chairman,PhD,Brunel University,UK,,"Machine Learning, Robust Speech Recognition, Image Processing.",
1319,1320,Sohail Abdul Sattar.,"NED,UET",Computer Science,Sindh,Professor/Co-Chairman,PhD,NED University of Engineering And Technology,Pakistan,,"Computer Vision, Image Processing and Computational Linguistics.",
1320,1321,Sh. Muhammad Wahabuddin Usmani.,"NED,UET",Computer Science,Sindh,Associate Professor,PhD,NED University of Engineering And Technology,Pakistan,,Software Development Methodologies.,
1321,1322,Najeed Ahmed Khan.,"NED,UET",Computer Science,Sindh,Associate Professor,PhD,University of Leeds,UK,,Computer Vision.,
1322,1323,Muhammad Mubashir Khan.,"NED,UET",Computer Science,Sindh,Associate Professor,PhD,University of Leeds,UK,,Information Security.,
1323,1324,Saba Izhar Haque.,"NED,UET",Computer Science,Sindh,Assistant Professor,Mphil,University of Manchester Institute of Science and Technology,UK,,Data Mining .,
1324,1325,Saman Hina.,"NED,UET",Computer Science,Sindh,Assistant Professor,PhD,University of Leeds,UK,,Semantics.,
1325,1326,Shariq Mahmood Khan.,"NED,UET",Computer Science,Sindh,Assistant Professor,PhD,Brunel University,UK,,Wireless Ad-Hoc Routing Protocols and Information Security.,
1326,1327,Shehnila Zardari.,"NED,UET",Computer Science,Sindh,Assistant Professor,PhD,The University of Birmingham,UK,,"Cloud Adoption: A Goal-Oriented Requirements Engineering Approach Research Interests: Requirements Engineering, Risk Management, Cloud Architecture, Software Engineering",
1327,1328,Raheela Asif.,"NED,UET",Computer Science,Sindh,Assistant Professor,PhD,NED University of Engineering And Technology,Pakistan,,Educational Data Mining,
1328,1329,Waseemullah.,"NED,UET",Computer Science,Sindh,Lecturer,MCIT,NED University of Engineering And Technology,Pakistan,,Databases and Software Engineering.,
1329,1330,Umer Farooq.,"NED,UET",Computer Science,Sindh,Lecturer,MCIT,NED University of Engineering And Technology,Pakistan,,Computer Vision,PhD in progress
1330,1331,Kashif Mehboob Khan.,"NED,UET",Computer Science,Sindh,Lecturer,MCIT,NED University of Engineering And Technology,Pakistan,,Online Information Security in Financial Transactions,
1331,1332,Uzma Zehra.,"NED,UET",Computer Science,Sindh,Lecturer,MS,Institute of Business Administration,Pakistan,,"Artificial Intelligance, Software Engineering, Web Development .",
1332,1333,Sidra,"NED,UET",Computer Science,Sindh,Lecturer,ME,Mehran University of Engineering & Technology,Pakistan,,"Image Processing, Software Engineering.",
1333,1334,Maria Andaleeb Siddiqui.,"NED,UET",Computer Science,Sindh,Lecturer,ME,NED University of Engineering And Technology,Pakistan,,Machine Learning.,
1334,1335,Imran Khan,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Assistant Professor,PhD,"Institute of Business Administration,Karachi",Pakistan,2015.0,,
1335,1336,Imran N. Junejo,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Associate Professor,PhD,University of Central Florida,USA,2007.0,,
1336,1337,Imran Rauf,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Assistant Professor,PhD,Max Planck Institute for Computer Science,germany,2011.0,,
1337,1338,Nasir Touheed,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Professor,PhD,University of Leeds,UK,1999.0,,
1338,1339,Quratulain Nizamuddin Rajput,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Assistant Professor,PhD,"Institute of Business Administration,Karachi",Pakistan,2011.0,,
1339,1340,S.m. Faisal Iradat,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Assistant Professor,PhD,"Institute of Business Administration,Karachi",Pakistan,2013.0,,
1340,1341,Sajjad Haider,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Professor,PhD,George Mason University,USA,2005.0,,
1341,1342,Sayeed Ghani,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Associate Professor,PhD,Columbia University,USA,1990.0,,
1342,1343,Shakeel Ahmed Khoja,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Professor/Chairperson,Post Doc,University of Southampton,UK,2008.0,,
1343,1344,Tariq Mahmood,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Assistant Professor,PhD,University of Trento,Italy,2009.0,,
1344,1345,Zaheeruddin Asif,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Assistant Professor,PhD,Temple University,USA,2008.0,,
1345,1346,Syed Irfan Nabi,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Assistant Professor,PhD,"Institute of Business Administration,Karachi",Pakistan,2013.0,,
1346,1347,Muhammad Waseem Arain,"Institute of Business Administration, Karachi ",Computer Science,Sindh,Assistant Professor,MS,Hamdard University,Pakistan,2000.0,,"PhD in progress from Institute of Business Administration,Karachi"
1347,1348,M. Abdul Rehman,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Associate Professor/HoD,PhD,University of Bayreuth,germany,,"Scientific Workflows, Scientific (machine generated) Data Management, Ontology based data integration, and Data transformation as well as transportation in scientific applications. Moreover, his interests also include the dataflow and data transformation languages.",
1348,1349,Qamar Uddin Khand,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Associate Professor,PhD,"Muroran Institute of Technology,Hokkaido",Japan,,"Embedded Control Systems, Sketch-Based Interfaces and Modeling, Soft Computing, Computer Graphics, and Renewable Energy based Irrigation Systems.",
1349,1350,Sher Muhammad Doudpota,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Director,PhD,Asian Institute of Technology,Thailand,,Multimedia Data Mining,
1350,1351,Javed Ahmed Shahani ,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,PhD,University of Bologna,Italy,,"Semantic Web technologies, Online Social Networks, Privacy and Data Protection, Social Application Development, Multi Agent Systems",
1351,1352,Ahmad Waqas,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Associate Professor,PhD,International Islamic University,Malaysia,," Distributed Systems, Cloud Computing, Network Design, Security and Management, Algorithms and Data Structures and Theoretical computer science.",
1352,1353,M. Ajmal Sawand,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,PhD,Paris Descartes University,France,,"security and resource management in Wireless Medical Sensor Networks, Wireless Body Area Networks, Wireless Sensor Networks, Virtual Sensor Networks, Mobile Crowd Sensing, Participatory Sensing, Quality of Monitoring for medical and health applications and Quality of Service optimization for audiovisual communications.",
1353,1354,Muhammad Irshad Nazeer,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Theoretical Computer Science, Computer Networks, Computational Intelligence and Network Coding",
1354,1355,Sarmad Soomro,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,Universiti Teknologi PETRONAS,Malaysia,,"Human Computer Interaction, Usability Engineering, Mobile Interaction 
",
1355,1356,Ghulam Murtaza Memon,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Data Mining, Business Intelligence, Big Data Analytics, Digital Image Processing, Digital Watermarking Security, Error Correcting Codes, Spread Spectrum",
1356,1357,Nahdia Majeed,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MBA,"Institute of Business Administration,Sukkur",Pakistan,,"Collaborative Software Process (CSP) Measurements , Mapping data from Object Oriented Databases to RDF based Ontology Interests: Object Oriented Programming Object Oriented Analysis & Design Data Structures & Algorithms",
1357,1358,Jawaid Ahmed Siddiqui ,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Software Engineering and Project Management, Quality Assurance and Requirement Engineering, Information Systems, Electronic Commerce and Security issues.",
1358,1359,Muhammad Hussain Mughal,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,"PhD in progress from MAJU,Karachi,Pakistan"
1359,1360,Muhammad Ismail Mangrio,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Assistant Professor,MS,Myongji University,South Korea,,"Object Oriented Programming, Web Engineering, Database concepts and Operating Systems. Cloud Computing, Semantic web.",
1362,1363,Riaz Ali Soomro,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Lecturer,B.E,Mehran University of Engineering & Technology,Pakistan,,"Object Oriented Programing, Data Structures and Algorithms, Introduction to Programming, Web Development, Mobile Applications Development and Operating Systems.",
1364,1365,Miss Paras Qadir,"Institute of Business Administration,Sukkur",Computer Science,Sindh,Lecturer,MSc,Universiti Teknologi PETRONAS,Malaysia,,"Reservoir Engineering, Multiphase Flow, Artificial Intelligence.",
1366,1367,Hameedullah Kazi,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Professor,PhD,Asian Institute of Technology,Thailand,,,
1367,1368,Ahmed Waliullah Kazi,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Associate Professor,PhD,State University of New York System,USA,,,
1369,1370,Kamran Khowaja,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,PhD,University of Malaya,Malaysia,,,
1372,1373,Sehrish Niaz Abrejo,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Assistant Professor,PhD,ISRA University,Pakistan,,,
1373,1374,Quratul Ain Shah,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Lecturer,BS,ISRA University,Pakistan,,,
1374,1375,Imtiaz Koondhar,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Lecturer,BS,SSindh Agriculture University,Pakistan,,,
1375,1376,Aijaz Chachar,ISRA University,"ENGINEERING, SCIENCE & TECHNOLOGY",Sindh,Lecturer,BS,ISRA University,Pakistan,,,
1380,1381,MUMTAZUL IMAM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Professor,PhD,London University,UK,,,
1381,1382,SHAKIL AHMED,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor/Chairman,PhD,Universiti Putra Malaysia Putra,Malaysia,,,
1382,1383,RABIA NOOR ENAM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,Sir Syed University of Engineering and Technology,Pakistan,,,
1383,1384,MUHAMMAD TAHIR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,University of Rome Tor Vergata,Italy,,,
1384,1385,SYED HASSAN RAZA NAQVI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,Politecnico di Milano,Italy,,,
1385,1386,REHAN INAM QURESHI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Associate Professor,PhD,University of South Australia,Australia,,,
1386,1387,ROOHI AHMED SIDDIQUI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1387,1388,ZULFIQAR ALI KHAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Wayne State University,USA,,,
1388,1389,MAHJABEEN TAHIR,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1389,1390,SYED HARIS MEHBOOB,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1390,1391,SHARIQ-UZ-ZAMAN DURRANI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1391,1392,SAQIB HUSSAIN SIDDIQUI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MBA,Sir Syed University of Engineering and Technology,Pakistan,,,
1392,1393,MOONA KANWAL,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,ME,NED University of Engineering And Technology,Pakistan,,,
1393,1394,SYED RIZWAN-UL-HASAN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1394,1395,M. MAQSOOD JAN MUHAMMAD,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1395,1396,KASHIF HABIB SHEIKH,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1396,1397,M. IMRAN SALEEM,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1397,1398,NAJMA ISMAT,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1398,1399,UMM-E-LAILA,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1399,1400,MUHAMMAD REHAN RASHEED,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,Sir Syed University of Engineering and Technology,Pakistan,,,
1400,1401,HUMA HASAN RIZVI,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,NED University of Engineering And Technology,Pakistan,,,
1401,1402,MASOOD HUSSAIN,Sir Syed University of Engineering and Technology,Computer Engineering,Sindh,Assistant Professor,MS,University of Mississippi ,USA,,,
